id,name,finer_type,weber_legitimacy,description
absolute_monarchy,Absolute Monarchy,palace,traditional,"Unrestricted personal sovereignty; no institutional checks on royal power"
monarchy,Monarchy,palace_forum,traditional,"Hereditary rule with some institutional constraints (council, assembly, custom)"
feudal_monarchy,Feudal Monarchy,palace_nobility,traditional,"Monarch atop feudal hierarchy; vassals hold real territorial power"
constitutional_monarchy,Constitutional Monarchy,palace_forum,rational_legal,"Monarchy limited by constitution and/or parliament"
elective_monarchy,Elective Monarchy,palace_forum,traditional,"Monarch chosen by designated electors (e.g., HRE, Poland-Lithuania)"
imperial_monarchy,Imperial Monarchy,palace,traditional,"Multi-ethnic empire under emperor; centralized but governing diverse peoples"
divine_monarchy,Divine Monarchy,palace_church,traditional,"Ruler considered divine or direct agent of deity (pharaohs, Khmer devaraja)"
chinese_imperial,Chinese Imperial,palace_forum,traditional,"Mandate of Heaven; Confucian bureaucracy; civil examination system"
sultanate,Sultanate,palace,traditional,"Islamic monarchy; sultan as sovereign wielding temporal authority"
caliphate,Caliphate,palace_church,traditional,"Islamic universal sovereignty; caliph as both political and religious leader"
emirate,Emirate,palace,traditional,"Islamic principality; emir as regional sovereign or governor"
imamate,Imamate,church,charismatic,"Shia or Ibadi theocratic sovereignty; imam as divinely guided leader"
khaganate,Khaganate,palace,charismatic,"Steppe supreme sovereignty; khagan rules confederation of tribes through personal authority"
khanate,Khanate,palace,traditional,"Steppe regional sovereignty; khan as hereditary or elected tribal sovereign"
shogunate,Shogunate,palace_nobility,traditional,"Japanese military government; shogun holds de facto power while emperor reigns"
principality,Principality,palace,traditional,"Small sovereign domain ruled by prince, grand duke, or equivalent"
theocracy,Theocracy,church,charismatic,"Rule by religious authority; political legitimacy derived from divine mandate"
republic,Republic,forum,rational_legal,"Non-hereditary institutional rule; power held by elected or appointed officials"
democratic_republic,Democratic Republic,forum,rational_legal,"Elected representative government; popular sovereignty through universal suffrage"
oligarchy,Oligarchy,forum,traditional,"Rule by small elite group; power concentrated in wealthy or aristocratic families"
city_state,City-State,forum,traditional,"Independent city-based polity; often with assembly or council governance"
communist_state,Communist State,forum,charismatic,"Marxist-Leninist one-party state; party claims vanguard legitimacy"
tribal_confederation,Tribal Confederation,nobility,traditional,"Alliance of tribal or clan groups; collective leadership through council of chiefs"
confederation,Confederation,forum,rational_legal,"Loose union of sovereign entities; central authority limited by member consent"
colonial_administration,Colonial Administration,foreign,rational_legal,"Territory administered by foreign imperial power; no indigenous sovereignty"
puppet_state,Puppet State,foreign,traditional,"Nominal sovereignty; de facto controlled by external power"
