territory_id,polity_id,start_year,end_year
anatolia,hittite_empire,-1600,-1180
anatolia,neo_assyrian_empire,-911,-609
anatolia,achaemenid_empire,-550,-330
anatolia,macedonian_empire,-336,-323
anatolia,seleucid_empire,-312,-63
anatolia,roman_empire,-27,380
anatolia,roman_empire,380,395
anatolia,byzantine_empire,395,1453
anatolia,seljuk_rum,1077,1307
anatolia,ottoman_empire,1299,1922
anatolia,republic_of_turkey,1923,
aquitaine,carolingian_empire,486,843
aquitaine,kingdom_of_france,987,1792
aquitaine,angevin_empire,1154,1204
arabia,nabataean_kingdom,-115,106
arabia,rashidun_caliphate,632,661
arabia,umayyad_caliphate,661,750
arabia,abbasid_caliphate,750,1258
arabia,ottoman_empire,1517,1918
arabia,saudi_arabia,1932,
balkans,roman_republic,-509,-27
balkans,roman_empire,-27,380
balkans,roman_empire,380,395
balkans,western_roman_empire,395,476
balkans,byzantine_empire,395,1453
balkans,first_bulgarian_empire,681,1018
balkans,serbian_empire,1190,1389
balkans,ottoman_empire,1299,1922
bohemia,kingdom_of_bohemia,895,1526
bohemia,holy_roman_empire,962,1806
bohemia,habsburg_monarchy,1438,1918
bohemia,czechoslovakia,1918,1993
britannia,roman_empire,-27,380
britannia,kingdom_of_england,927,1707
britannia,angevin_empire,1154,1204
britannia,kingdom_of_great_britain,1707,1801
britannia,united_kingdom,1801,
caucasus,kingdom_of_urartu,-860,-590
caucasus,median_kingdom,-678,-550
caucasus,achaemenid_empire,-550,-330
caucasus,kingdom_of_armenia,-190,428
caucasus,sassanid_empire,224,651
caucasus,khazar_khaganate,650,969
caucasus,bagratid_armenia,885,1064
caucasus,ilkhanate,1256,1335
caucasus,ottoman_empire,1299,1922
caucasus,safavid_empire,1501,1736
caucasus,russian_empire,1801,1917
caucasus,soviet_union,1922,1991
central_asian_steppe,xiongnu,-209,93
central_asian_steppe,hunnic_empire,350,453
central_asian_steppe,goktürk_khaganate,552,744
central_asian_steppe,avar_khaganate,568,804
central_asian_steppe,uyghur_khaganate,744,840
central_asian_steppe,mongol_empire,1206,1368
central_asian_steppe,chagatai_khanate,1226,1347
central_asian_steppe,golden_horde,1242,1502
central_asian_steppe,kazakh_khanate,1465,1731
central_asian_steppe,russian_empire,1731,1917
central_asian_steppe,soviet_union,1922,1991
deccan,maurya_empire,-322,-185
deccan,satavahana_empire,-230,220
deccan,vijayanagara_empire,1336,1646
deccan,bahmani_sultanate,1347,1527
deccan,mughal_empire,1526,1857
deccan,maratha_empire,1674,1818
deccan,british_raj,1858,1947
deccan,republic_of_india,1947,
egypt,old_kingdom_egypt,-2686,-2181
egypt,new_kingdom_egypt,-1550,-1070
egypt,neo_assyrian_empire,-911,-609
egypt,achaemenid_empire,-550,-330
egypt,macedonian_empire,-336,-323
egypt,ptolemaic_egypt,-305,-30
egypt,roman_empire,-27,380
egypt,roman_empire,380,395
egypt,byzantine_empire,395,641
egypt,rashidun_caliphate,632,661
egypt,umayyad_caliphate,661,750
egypt,abbasid_caliphate,750,969
egypt,fatimid_caliphate,909,1171
egypt,ayyubid_sultanate,1171,1260
egypt,mamluk_sultanate,1250,1517
egypt,ottoman_empire,1517,1798
egypt,kingdom_of_egypt,1805,1952
egypt,republic_of_egypt,1952,
ganges_plain,maurya_empire,-322,-185
ganges_plain,gupta_empire,320,550
ganges_plain,harsha_empire,606,647
ganges_plain,pala_empire,750,1200
ganges_plain,delhi_sultanate,1206,1526
ganges_plain,mughal_empire,1526,1857
ganges_plain,british_raj,1858,1947
ganges_plain,republic_of_india,1947,
gaul,roman_republic,-509,-27
gaul,roman_empire,-27,380
gaul,roman_empire,380,395
gaul,western_roman_empire,395,476
gaul,carolingian_empire,486,843
gaul,kingdom_of_france,987,1792
gaul,angevin_empire,1154,1204
germany,carolingian_empire,486,843
germany,holy_roman_empire,962,1806
germany,kingdom_of_prussia,1701,1918
germany,habsburg_monarchy,1438,1918
germany,german_empire,1871,1918
germany,weimar_republic,1918,1933
germany,nazi_germany,1933,1945
germany,east_germany,1949,1990
germany,federal_republic_germany,1949,
hungary,hunnic_empire,350,453
hungary,avar_khaganate,568,804
hungary,kingdom_of_hungary,1000,1526
hungary,ottoman_empire,1526,1699
hungary,habsburg_monarchy,1526,1918
iberia,roman_republic,-509,-27
iberia,roman_empire,-27,380
iberia,roman_empire,380,395
iberia,western_roman_empire,395,476
iberia,visigothic_kingdom,418,711
iberia,umayyad_caliphate,711,750
iberia,al_andalus,711,1492
indus_valley,maurya_empire,-322,-185
indus_valley,gupta_empire,320,550
indus_valley,ghaznavid_empire,977,1186
indus_valley,delhi_sultanate,1206,1526
indus_valley,mughal_empire,1526,1857
indus_valley,british_raj,1858,1947
indus_valley,pakistan,1947,
iran_plateau,median_kingdom,-678,-550
iran_plateau,achaemenid_empire,-550,-330
iran_plateau,macedonian_empire,-336,-323
iran_plateau,seleucid_empire,-312,-63
iran_plateau,parthian_empire,-247,224
iran_plateau,sassanid_empire,224,651
iran_plateau,rashidun_caliphate,632,661
iran_plateau,umayyad_caliphate,661,750
iran_plateau,abbasid_caliphate,750,1258
iran_plateau,seljuk_empire,1037,1194
iran_plateau,mongol_empire,1206,1368
iran_plateau,ilkhanate,1256,1335
iran_plateau,timurid_empire,1370,1507
iran_plateau,safavid_empire,1501,1736
iran_plateau,afsharid_dynasty,1736,1796
iran_plateau,qajar_dynasty,1796,1925
iran_plateau,pahlavi_dynasty,1925,1979
iran_plateau,islamic_republic_iran,1979,
ireland,united_kingdom,1801,
italy,roman_kingdom,-753,-509
italy,roman_republic,-509,-27
italy,roman_empire,-27,380
italy,roman_empire,380,395
italy,western_roman_empire,395,476
italy,odoacer_kingdom,476,493
italy,ostrogothic_kingdom,493,553
italy,lombard_kingdom,568,774
italy,carolingian_empire,774,843
italy,holy_roman_empire,962,1806
italy,kingdom_of_italy,1861,1946
japanese_archipelago,yamato_period,250,710
japanese_archipelago,nara_period,710,794
japanese_archipelago,heian_period,794,1185
japanese_archipelago,feudal_japan,1185,1603
japanese_archipelago,tokugawa_shogunate,1603,1868
japanese_archipelago,empire_of_japan,1868,1947
japanese_archipelago,modern_japan,1947,
khorasan,achaemenid_empire,-550,-330
khorasan,macedonian_empire,-336,-323
khorasan,parthian_empire,-247,224
khorasan,sassanid_empire,224,651
khorasan,umayyad_caliphate,661,750
khorasan,abbasid_caliphate,750,821
khorasan,samanid_empire,819,999
khorasan,ghaznavid_empire,977,1186
khorasan,seljuk_empire,1037,1194
khorasan,mongol_empire,1206,1368
khorasan,ilkhanate,1256,1335
khorasan,timurid_empire,1370,1507
khorasan,safavid_empire,1501,1736
khorasan,afsharid_dynasty,1736,1796
khorasan,qajar_dynasty,1796,1925
khorasan,pahlavi_dynasty,1925,1979
khorasan,islamic_republic_iran,1979,
kievan_rus,kievan_rus,882,1240
kievan_rus,golden_horde,1240,1480
kievan_rus,grand_duchy_of_lithuania,1236,1569
kievan_rus,grand_duchy_moscow,1283,1547
kievan_rus,tsardom_russia,1547,1721
kievan_rus,polish_lithuanian_commonwealth,1569,1795
kievan_rus,russian_empire,1721,1917
kievan_rus,soviet_union,1922,1991
kievan_rus,russian_federation,1991,
korean_peninsula,silla,-57,668
korean_peninsula,goguryeo,-37,668
korean_peninsula,baekje,-18,660
korean_peninsula,unified_silla,668,935
korean_peninsula,goryeo,918,1392
korean_peninsula,joseon,1392,1897
korean_peninsula,empire_of_japan,1868,1947
korean_peninsula,japanese_korea,1910,1945
korean_peninsula,south_korea,1948,
korean_peninsula,north_korea,1948,
levant,akkadian_empire,-2334,-2154
levant,new_kingdom_egypt,-1550,-1070
levant,phoenician_states,-1200,-332
levant,kingdom_of_israel,-1047,-930
levant,kingdom_of_judah,-930,-586
levant,neo_assyrian_empire,-911,-609
levant,neo_babylonian,-626,-539
levant,achaemenid_empire,-550,-330
levant,macedonian_empire,-336,-323
levant,seleucid_empire,-312,-63
levant,ptolemaic_egypt,-305,-30
levant,roman_empire,-27,380
levant,roman_empire,380,395
levant,byzantine_empire,395,636
levant,rashidun_caliphate,632,661
levant,umayyad_caliphate,661,750
levant,abbasid_caliphate,750,1258
levant,fatimid_caliphate,909,1171
levant,ayyubid_sultanate,1171,1260
levant,mamluk_sultanate,1250,1517
levant,ottoman_empire,1517,1918
lithuania,grand_duchy_of_lithuania,1236,1569
lithuania,polish_lithuanian_commonwealth,1569,1795
lithuania,russian_empire,1795,1917
lithuania,soviet_union,1940,1990
manchuria,goguryeo,-37,668
manchuria,liao_dynasty,907,1125
manchuria,jin_jurchen,1115,1234
manchuria,mongol_empire,1206,1368
manchuria,yuan_dynasty,1271,1368
manchuria,ming_dynasty,1368,1616
manchuria,qing_dynasty,1616,1912
manchuria,republic_of_china,1912,1932
manchuria,empire_of_japan,1931,1945
manchuria,manchukuo,1932,1945
manchuria,peoples_republic_of_china,1949,
mesopotamia,sumerian_city_states,-3500,-2334
mesopotamia,akkadian_empire,-2334,-2154
mesopotamia,ur_iii,-2112,-2004
mesopotamia,old_babylonian,-1894,-1595
mesopotamia,neo_assyrian_empire,-911,-609
mesopotamia,neo_babylonian,-626,-539
mesopotamia,achaemenid_empire,-550,-330
mesopotamia,macedonian_empire,-336,-323
mesopotamia,seleucid_empire,-312,-63
mesopotamia,parthian_empire,-247,224
mesopotamia,sassanid_empire,224,651
mesopotamia,rashidun_caliphate,632,661
mesopotamia,umayyad_caliphate,661,750
mesopotamia,abbasid_caliphate,750,1258
mesopotamia,seljuk_empire,1037,1194
mesopotamia,mongol_empire,1206,1368
mesopotamia,ilkhanate,1256,1335
mesopotamia,ottoman_empire,1534,1918
mesopotamia,safavid_empire,1501,1534
mesopotamia,kingdom_of_iraq,1921,1958
mesopotamia,republic_of_iraq,1958,
mongolian_plateau,xiongnu,-209,93
mongolian_plateau,goktürk_khaganate,552,744
mongolian_plateau,uyghur_khaganate,744,840
mongolian_plateau,mongol_empire,1206,1368
mongolian_plateau,north_yuan,1368,1635
mongolian_plateau,qing_dynasty,1635,1912
mongolian_plateau,mongolian_peoples_republic,1924,1992
north_africa,roman_republic,-509,-27
north_africa,roman_empire,-27,380
north_africa,roman_empire,380,395
north_africa,western_roman_empire,395,476
north_africa,vandal_kingdom,429,533
north_africa,byzantine_empire,533,698
north_africa,umayyad_caliphate,661,750
north_africa,abbasid_caliphate,750,909
north_africa,fatimid_caliphate,909,1171
north_africa,ottoman_empire,1517,1830
nubia,old_kingdom_egypt,-2686,-2181
nubia,new_kingdom_egypt,-1550,-1070
nubia,meroitic_kingdom,-656,350
poland,kingdom_of_poland,966,1569
poland,polish_lithuanian_commonwealth,1569,1795
poland,kingdom_of_prussia,1772,1918
poland,russian_empire,1795,1917
pontic_steppe,hunnic_empire,350,453
pontic_steppe,khazar_khaganate,650,969
pontic_steppe,kievan_rus,882,1240
pontic_steppe,golden_horde,1242,1502
pontic_steppe,crimean_khanate,1441,1783
pontic_steppe,russian_empire,1783,1917
pontic_steppe,soviet_union,1922,1991
prussia,teutonic_order,1230,1525
prussia,kingdom_of_prussia,1525,1918
prussia,german_empire,1871,1918
prussia,weimar_republic,1918,1933
prussia,nazi_germany,1933,1945
punjab,maurya_empire,-322,-185
punjab,ghaznavid_empire,977,1186
punjab,delhi_sultanate,1206,1526
punjab,mughal_empire,1526,1857
punjab,sikh_empire,1799,1849
punjab,british_raj,1858,1947
punjab,pakistan,1947,
punjab,republic_of_india,1947,
scandinavia,kingdom_of_norway,872,1397
scandinavia,kingdom_of_denmark,936,1397
scandinavia,kingdom_of_sweden,970,1397
scandinavia,kalmar_union,1397,1523
scandinavia,kingdom_of_denmark,1523,1814
scandinavia,kingdom_of_sweden,1523,
scandinavia,kingdom_of_norway,1905,
scandinavia,kingdom_of_denmark,1814,
scotland,kingdom_of_scotland,843,1707
scotland,kingdom_of_great_britain,1707,1801
scotland,united_kingdom,1801,
transoxiana,achaemenid_empire,-550,-330
transoxiana,macedonian_empire,-336,-323
transoxiana,goktürk_khaganate,552,744
transoxiana,umayyad_caliphate,661,750
transoxiana,abbasid_caliphate,750,819
transoxiana,samanid_empire,819,999
transoxiana,ghaznavid_empire,999,1040
transoxiana,seljuk_empire,1037,1194
transoxiana,khwarazmian_empire,1200,1220
transoxiana,mongol_empire,1206,1368
transoxiana,chagatai_khanate,1226,1347
transoxiana,timurid_empire,1370,1507
transoxiana,russian_empire,1865,1917
transoxiana,soviet_union,1924,1991
yangtze,zhou_dynasty,-1046,-256
yangtze,qin_dynasty,-221,-206
yangtze,han_dynasty,-206,220
yangtze,eastern_wu,222,280
yangtze,western_jin,280,316
yangtze,eastern_jin,317,420
yangtze,southern_dynasties,420,589
yangtze,sui_dynasty,581,618
yangtze,tang_dynasty,618,907
yangtze,ten_kingdoms,907,979
yangtze,northern_song,960,1127
yangtze,southern_song,1127,1279
yangtze,mongol_empire,1206,1368
yangtze,yuan_dynasty,1271,1368
yangtze,ming_dynasty,1368,1644
yangtze,qing_dynasty,1644,1912
yangtze,republic_of_china,1912,1949
yangtze,peoples_republic_of_china,1949,
yellow_river,shang_dynasty,-1600,-1046
yellow_river,zhou_dynasty,-1046,-256
yellow_river,qin_dynasty,-221,-206
yellow_river,han_dynasty,-206,220
yellow_river,cao_wei,220,265
yellow_river,western_jin,265,316
yellow_river,northern_dynasties,386,581
yellow_river,sui_dynasty,581,618
yellow_river,tang_dynasty,618,907
yellow_river,five_dynasties,907,960
yellow_river,northern_song,960,1127
yellow_river,liao_dynasty,907,1125
yellow_river,jin_jurchen,1115,1234
yellow_river,mongol_empire,1206,1368
yellow_river,yuan_dynasty,1271,1368
yellow_river,ming_dynasty,1368,1644
yellow_river,qing_dynasty,1644,1912
yellow_river,republic_of_china,1912,1949
yellow_river,peoples_republic_of_china,1949,
nubia,aksumite_kingdom,100,940
arabia,adal_sultanate,1415,1577
arabia,ajuran_sultanate,1300,1700
arabia,ifat_sultanate,1285,1415
north_africa,aghlabid_dynasty,800,909
north_africa,alawite_dynasty,1631,
north_africa,almohad_caliphate,1121,1269
iberia,almohad_caliphate,1147,1228
north_africa,almoravid_dynasty,1040,1147
iberia,almoravid_dynasty,1086,1147
iran_plateau,aq_qoyunlu,1378,1508
mesopotamia,aq_qoyunlu,1469,1508
anatolia,aq_qoyunlu,1378,1508
manchuria,balhae,698,926
korean_peninsula,balhae,698,926
ganges_plain,bengal_sultanate,1352,1576
balkans,bosnian_kingdom,1377,1463
mesopotamia,buyid_dynasty,934,1062
iran_plateau,buyid_dynasty,934,1062
north_africa,carthage,-814,-146
deccan,chalukya_dynasty,543,757
deccan,chera_dynasty,-300,1102
deccan,chola_empire,-300,1279
pontic_steppe,cossack_hetmanate,1649,1764
balkans,croatian_kingdom,925,1102
balkans,dacian_kingdom,-82,106
nubia,darfur_sultanate,1603,1916
khorasan,durrani_empire,1747,1826
punjab,durrani_empire,1747,1826
indus_valley,durrani_empire,1747,1826
central_asian_steppe,dzungar_khanate,1634,1755
iran_plateau,elam,-2700,-539
nubia,funj_sultanate,1504,1821
ganges_plain,gajapati_dynasty,1078,1541
kievan_rus,galicia_volhynia,1199,1349
khorasan,ghorid_dynasty,1148,1215
punjab,ghorid_dynasty,1175,1206
ganges_plain,ghorid_dynasty,1192,1215
transoxiana,greco_bactrian_kingdom,-256,-125
khorasan,greco_bactrian_kingdom,-256,-125
indus_valley,gujarat_sultanate,1407,1573
north_africa,hafsid_dynasty,1229,1574
levant,hasmonean_dynasty,-140,-37
transoxiana,hephthalite_empire,440,565
khorasan,hephthalite_empire,440,565
punjab,hephthalite_empire,460,565
indus_valley,hephthalite_empire,460,565
arabia,himyarite_kingdom,-110,525
khorasan,hotak_dynasty,1709,1738
iran_plateau,hotak_dynasty,1722,1729
deccan,hoysala_dynasty,1006,1346
deccan,hyderabad_state,1724,1948
north_africa,idrisid_dynasty,788,974
egypt,ikhshidid_dynasty,935,969
levant,ikhshidid_dynasty,935,969
punjab,indo_greek_kingdom,-180,-10
indus_valley,indo_greek_kingdom,-180,-10
indus_valley,indo_parthian_kingdom,-19,226
punjab,indo_parthian_kingdom,-19,226
indus_valley,indo_scythian_kingdom,-200,400
punjab,indo_scythian_kingdom,-200,400
mesopotamia,jalayirid_sultanate,1335,1432
iran_plateau,jalayirid_sultanate,1335,1432
ganges_plain,jaunpur_sultanate,1394,1479
manchuria,jin_jurchen,1115,1234
yellow_river,jin_jurchen,1127,1234
deccan,kadamba_dynasty,345,525
deccan,kakatiya_dynasty,1083,1323
ganges_plain,kamarupa_kingdom,350,1140
transoxiana,kara_khanid_khanate,840,1212
central_asian_steppe,kara_khanid_khanate,840,1212
iran_plateau,kara_koyunlu,1374,1468
mesopotamia,kara_koyunlu,1374,1468
pontic_steppe,kazan_khanate,1438,1552
transoxiana,khanate_of_bukhara,1500,1785
transoxiana,khanate_of_khiva,1511,1920
transoxiana,khanate_of_kokand,1709,1876
central_asian_steppe,khoshut_khanate,1642,1717
balkans,kingdom_of_greece,1832,1973
levant,kingdom_of_jerusalem,1099,1291
levant,kingdom_of_jordan,1946,
balkans,kingdom_of_romania,1881,1947
arabia,kingdom_of_saba,-1200,-275
transoxiana,kushan_empire,30,375
khorasan,kushan_empire,30,375
punjab,kushan_empire,30,375
indus_valley,kushan_empire,30,375
ganges_plain,kushan_empire,30,375
khorasan,kushano_sasanian_kingdom,230,365
indus_valley,kushano_sasanian_kingdom,230,365
mesopotamia,lakhmid_kingdom,300,602
balkans,latin_empire,1204,1261
anatolia,latin_empire,1204,1261
deccan,madurai_sultanate,1335,1378
nubia,mahdist_state,1885,1898
nubia,makuria_kingdom,340,1364
ganges_plain,malwa_sultanate,1392,1562
north_africa,marinid_dynasty,1244,1465
mesopotamia,mitanni_empire,-1500,-1300
levant,mitanni_empire,-1500,-1300
central_asian_steppe,moghulistan,1347,1462
deccan,mysore_kingdom,1399,1799
ganges_plain,nanda_empire,-345,-322
kievan_rus,novgorod_republic,1136,1478
north_africa,numidia,-202,-46
deccan,pallava_dynasty,275,897
levant,palmyrene_empire,260,273
egypt,palmyrene_empire,270,272
deccan,pandya_dynasty,-300,1345
ganges_plain,pratihara_dynasty,730,1036
punjab,pratihara_dynasty,730,1036
indus_valley,pratihara_dynasty,730,1036
balkans,principality_of_moldavia,1346,1859
balkans,principality_of_wallachia,1290,1859
central_asian_steppe,qara_khitai,1124,1218
transoxiana,qara_khitai,1124,1218
deccan,rashtrakuta_dynasty,753,982
north_africa,rustamid_dynasty,776,909
japanese_archipelago,ryukyu_kingdom,1429,1879
north_africa,saadian_dynasty,1549,1659
khorasan,saffarid_dynasty,861,1003
iran_plateau,saffarid_dynasty,861,1003
balkans,second_bulgarian_empire,1185,1396
ganges_plain,sena_dynasty,1070,1230
balkans,serbian_despotate,1402,1459
yellow_river,shu_han,221,263
ganges_plain,shunga_dynasty,-185,-73
nubia,solomonic_dynasty,1270,1974
levant,state_of_israel,1948,
ganges_plain,sur_empire,1540,1556
punjab,sur_empire,1540,1556
central_asian_steppe,tibetan_empire,618,842
egypt,tulunid_dynasty,868,905
levant,tulunid_dynasty,868,905
deccan,vakataka_dynasty,250,500
deccan,western_chalukya,973,1189
central_asian_steppe,western_xia,1038,1227
deccan,yadava_dynasty,850,1317
central_asian_steppe,yarkand_khanate,1514,1705
nubia,zagwe_dynasty,900,1270
iran_plateau,zand_dynasty,1751,1794
mesopotamia,zangid_atabegate,1127,1250
levant,zangid_atabegate,1127,1250
north_africa,zirid_dynasty,972,1148
